Creative Type,US DVD Sales,Running Time (min),Production Budget,Source,US Gross,Title,Release Date,Director,Rotten Tomatoes Rating,Major Genre,Worldwide Gross,Distributor,MPAA Rating,IMDB Rating,IMDB Votes
Contemporary Fiction,0,0,15000000,Remake,167780960,3 Men and a Baby,25-Nov-1987,Leonard Nimoy,0,Comedy,167780960,Walt Disney Pictures,,5.7,16764
Contemporary Fiction,0,0,20000000,Original Screenplay,11744960,3 Ninjas Kick Back,6-May-1994,,17,Action,11744960,Walt Disney Pictures,PG,3.2,3107
,0,0,1500000,Original Screenplay,75828,Forty Shades of Blue,28-Sep-2005,,0,Drama,172569,Vitagraph Films,R,6,873
,0,0,439000,Based on Book/Short Story,2300000,42nd Street,9-Mar-1933,,95,Musical,2300000,Warner Bros.,,7.7,4263
Contemporary Fiction,0,0,4000000,Original Screenplay,4301000,Four Rooms,25-Dec-1995,Robert Rodriguez,14,Comedy,4301000,Miramax,R,6.4,34328
Contemporary Fiction,0,0,6500000,Original Screenplay,42488161,The Four Seasons,22-May-1981,Alan Alda,71,Comedy,42488161,Universal,,7,1814
Contemporary Fiction,0,0,4500000,Original Screenplay,52700832,Four Weddings and a Funeral,9-Mar-1994,Mike Newell,96,Romantic Comedy,242895809,Gramercy,R,7.1,39003
,0,0,350000,,84689,51 Birch Street,18-Oct-2006,,97,,84689,Truly Indie,Not Rated,7.4,439
,0,0,17000000,Original Screenplay,10000000,55 Days at Peking,1963,,57,Drama,10000000,,,6.8,2104
Contemporary Fiction,0,0,18000000,Based on Book/Short Story,6734844,Nine 1/2 Weeks,21-Feb-1986,Adrian Lyne,0,Drama,6734844,MGM,,5.4,12731
Fantasy,0,0,113500000,Based on Comic/Graphic Novel,999811,AstÈrix aux Jeux Olympiques,4-Jul-2008,,0,Adventure,132999811,Alliance,Not Rated,4.9,5620
Science Fiction,0,0,70000000,Original Screenplay,54243125,The Abyss,9-Aug-1989,James Cameron,88,Action,54243125,20th Century Fox,PG-13,7.6,51018
Contemporary Fiction,0,0,7000000,Original Screenplay,20257000,Action Jackson,12-Feb-1988,,10,Action,20257000,Lorimar Motion Pictures,,4.6,3856
Contemporary Fiction,0,0,12000000,Original Screenplay,72217396,Ace Ventura: Pet Detective,4-Feb-1994,Tom Shadyac,49,Comedy,107217396,Warner Bros.,PG-13,6.6,63543
Contemporary Fiction,0,0,30000000,Original Screenplay,108360063,Ace Ventura: When Nature Calls,10-Nov-1995,Steve Oedekerk,0,Comedy,212400000,Warner Bros.,PG-13,5.6,51275
Contemporary Fiction,0,0,5000000,Original Screenplay,12947763,April Fool's Day,27-Mar-1986,,31,Horror,12947763,Paramount Pictures,,0,0
,0,0,4000000,Original Screenplay,64359,Among Giants,26-Mar-1999,,0,Romantic Comedy,64359,Fox Searchlight,R,5.7,546
,0,0,3768785,Based on Book/Short Story,8000000,Annie Get Your Gun,17-May-1950,,100,Musical,8000000,MGM,,7.1,1326
,0,0,3000000,Based on Book/Short Story,0,Alice in Wonderland,28-Jul-1951,,20,Musical,0,RKO Radio Pictures,,6.7,63458
Fantasy,0,0,24000000,Original Screenplay,669276,The Princess and the Cobbler,25-Aug-1995,,0,Adventure,669276,Miramax,G,7.3,893
Historical Fiction,0,0,12000000,Original Screenplay,7900000,The Alamo,24-Oct-1960,John Wayne,54,Western,7900000,United Artists,PG-13,5.9,10063
,0,0,2000000,Original Screenplay,4000000,Alexander's Ragtime Band,1938,,0,Drama,4000000,20th Century Fox,,0,0
Dramatization,0,0,32000000,Based on Book/Short Story,36299670,Alive,15-Jan-1993,Frank Marshall,71,Adventure,36299670,Walt Disney Pictures,R,3.2,124
,0,0,14000000,Based on Play,274299,Amen,24-Jan-2003,Costa-Gavras,0,Drama,274299,Kino International,Not Rated,7.4,5416
,0,0,777000,Original Screenplay,115000000,American Graffiti,11-Aug-1973,George Lucas,97,Comedy,140000000,Universal,,7.6,30952
,0,0,350000,Original Screenplay,4000000,American Ninja 2: The Confrontation,1987,Sam Firstenberg,0,Action,4000000,,,3.7,2495
Contemporary Fiction,0,0,62000000,Original Screenplay,60022813,The American President,17-Nov-1995,Rob Reiner,90,Romantic Comedy,107822813,Sony Pictures,PG-13,6.8,22780
,0,0,4000000,Original Screenplay,38251425,Annie Hall,20-Apr-1977,Woody Allen,98,Comedy,38251425,MGM,,8.2,65406
,0,0,2500000,Original Screenplay,9598,Anatomie,8-Sep-2000,,0,Horror,9598,Sony Pictures,Not Rated,6.1,6266
Historical Fiction,0,0,6500000,Based on Book/Short Story,24103594,The Adventures of Huck Finn,2-Apr-1993,Stephen Sommers,62,Adventure,24103594,Walt Disney Pictures,PG,5.8,3095
,0,0,3000000,Original Screenplay,18600000,The Apartment,1960,Billy Wilder,91,Romantic Comedy,24600000,United Artists,,8.4,36485
Historical Fiction,3479242,0,31500000,Based on Book/Short Story,78800000,Apocalypse Now,15-Aug-1979,Francis Ford Coppola,98,Action,78800000,MGM,R,8.6,173141
Science Fiction,0,0,31000000,Original Screenplay,53208180,Arachnophobia,18-Jul-1990,Frank Marshall,85,Thriller/Suspense,53208180,Walt Disney Pictures,,6.2,20528
Historical Fiction,0,0,16500000,Based on Book/Short Story,0,Arn - Tempelriddaren,25-Dec-2007,,0,Action,14900000,,R,6.4,6251
Contemporary Fiction,0,0,600000,Original Screenplay,23616,Arnolds Park,19-Oct-2007,,0,Thriller/Suspense,23616,The Movie Partners,PG-13,5.1,77
,0,0,150000,,15200000,Sweet Sweetback's Baad Asssss Song,1-Jan-1971,,0,,15200000,,,5.6,1769
,0,0,989000,,8158,And Then Came Love,1-Jun-2007,,17,Comedy,8158,Fox Meadow,Not Rated,4.4,200
,0,0,6000000,Based on Book/Short Story,42000000,Around the World in 80 Days,17-Oct-1956,,73,Adventure,42000000,United Artists,PG,5.6,21516
Science Fiction,0,0,9000000,Based on Comic/Graphic Novel,0,Barbarella,10-Oct-1968,,74,Adventure,0,Paramount Pictures,,5.7,10794
,0,0,11000000,Based on Book/Short Story,20000000,Barry Lyndon,1975,Stanley Kubrick,94,Drama,20000000,Warner Bros.,,8.1,39909
,0,0,4000000,,800000,"Barbarians, The","March, 1987",,0,,800000,,,5.4,236
Contemporary Fiction,0,0,30000000,Based on Book/Short Story,63658910,Babe,4-Aug-1995,Chris Noonan,98,Adventure,246100000,Universal,G,7.3,35644
Contemporary Fiction,0,104,2900000,Original Screenplay,3127472,Boynton Beach Club,24-Mar-2006,,0,Romantic Comedy,3127472,Wingate Distribution,R,0,0
Contemporary Fiction,0,0,50000000,Original Screenplay,16581575,Baby's Day Out,1-Jul-1994,Patrick Read Johnson,21,Comedy,16581575,20th Century Fox,PG,5,8332
,0,0,35000000,Original Screenplay,4496583,Bound by Honor,16-Apr-1993,Taylor Hackford,0,,4496583,Walt Disney Pictures,,7.7,10142
Contemporary Fiction,0,0,8000000,Original Screenplay,12671300,"Bon Cop, Bad Cop",4-Aug-2006,,67,Comedy,12671300,Alliance,Not Rated,6.9,151
Science Fiction,0,0,19000000,Original Screenplay,210609762,Back to the Future,3-Jul-1985,Robert Zemeckis,96,Adventure,381109762,Universal,,8.4,201598
Science Fiction,0,0,40000000,Original Screenplay,118450002,Back to the Future Part II,22-Nov-1989,Robert Zemeckis,64,Adventure,332000000,Universal,,7.5,87341
Science Fiction,0,0,40000000,Original Screenplay,87666629,Back to the Future Part III,24-May-1990,Robert Zemeckis,71,Adventure,243700000,Universal,,7.1,77541
Historical Fiction,0,0,6000000,,102308900,Butch Cassidy and the Sundance Kid,24-Oct-1969,George Roy Hill,90,Western,102308900,20th Century Fox,,8.2,57602
Contemporary Fiction,0,0,23000000,Original Screenplay,65647413,Bad Boys,7-Apr-1995,Michael Bay,39,Action,141247413,Sony Pictures,R,6.6,53929
Contemporary Fiction,0,0,10000000,Original Screenplay,8801940,Body Double,26-Oct-1984,Brian De Palma,84,Thriller/Suspense,8801940,Sony/Columbia,,6.4,9738
,0,0,210000,Based on Book/Short Story,5000000,"The Beast from 20,000 Fathoms",13-Jun-1953,,90,,5000000,Warner Bros.,,0,0
Fantasy,0,0,6000000,Based on Book/Short Story,773490,Beastmaster 2: Through the Portal of Time,30-Aug-1991,,17,,773490,New Line,,3.3,1327
Fantasy,0,0,5000000,Based on Book/Short Story,10751126,The Beastmaster,20-Aug-1982,,50,Action,10751126,MGM,,5.7,5734
,0,0,3900000,Based on Book/Short Story,9000000,Ben-Hur,30-Dec-25,,0,Adventure,9000000,MGM,,8.2,58510
,0,0,15000000,Based on Book/Short Story,73000000,Ben-Hur,18-Nov-1959,William Wyler,91,Adventure,73000000,MGM,,8.2,58510
,0,0,500000,Original Screenplay,31559560,Benji,15-Nov-1974,,83,Adventure,31559560,,,5.8,1801
Contemporary Fiction,0,0,2500000,Original Screenplay,5274005,Before Sunrise,27-Jan-1995,Richard Linklater,100,Drama,5274005,Sony Pictures,R,8,39705
Fantasy,0,0,20000000,Based on Book/Short Story,171340294,Beauty and the Beast,13-Nov-1991,Gary Trousdale,93,Musical,403476931,Walt Disney Pictures,G,3.4,354
,0,0,2100000,Based on Book/Short Story,23600000,The Best Years of Our Lives,21-Nov-1946,William Wyler,97,Drama,23600000,RKO Radio Pictures,,8.2,17338
Historical Fiction,0,0,1305000,Based on Book/Short Story,909000,The Ballad of Gregorio Cortez,19-Aug-1983,,0,Western,909000,Embassy,,0,0
Contemporary Fiction,0,0,3000000,,4655,My Big Fat Independent Movie,30-Sep-2005,,23,Comedy,4655,Big Fat Movies,R,3.2,1119
Science Fiction,0,0,1800000,,8800000,Battle for the Planet of the Apes,1973,Jack Lee Thompson,38,,8800000,20th Century Fox,,5,6094
,0,0,50000,,0,Big Things,31-Dec-2009,,0,,0,,,0,0
Fantasy,0,0,32000000,Original Screenplay,4357406,Bogus,6-Sep-1996,Norman Jewison,40,Comedy,4357406,Warner Bros.,PG,4.8,2742
Contemporary Fiction,0,0,15000000,Original Screenplay,234760478,Beverly Hills Cop,5-Dec-1984,Martin Brest,83,Action,316300000,Paramount Pictures,,7.3,45065
Contemporary Fiction,0,0,20000000,Original Screenplay,153665036,Beverly Hills Cop II,20-May-1987,Tony Scott,46,Action,276665036,Paramount Pictures,R,6.1,29712
Contemporary Fiction,0,0,50000000,Original Screenplay,42586861,Beverly Hills Cop III,25-May-1994,John Landis,10,Action,119180938,Paramount Pictures,R,5,21199
Science Fiction,0,0,20000000,Original Screenplay,35841901,The Black Hole,21-Dec-1979,,42,,35841901,Walt Disney Pictures,,5.6,7810
,0,0,15000000,,0,Bathory,10-Jul-2008,,0,,3436763,,,6.1,1446
Fantasy,0,0,18000000,Original Screenplay,114968774,Big,3-Jun-1988,Penny Marshall,96,Comedy,151668774,20th Century Fox,,7.2,49256
,0,0,245000,Based on Play,11000000,The Big Parade,1-Jan-25,King Vidor,100,Drama,22000000,MGM,,8.4,2600
Contemporary Fiction,0,0,6500000,Original Screenplay,56190094,Boyz n the Hood,12-Jul-1991,John Singleton,98,Drama,56190094,Sony Pictures,,7.8,30299
Historical Fiction,0,0,2000000,Based on Book/Short Story,1660865,"The Book of Mormon Movie, Volume 1: The Journey",12-Sep-2003,,0,Drama,1660865,Distributor Unknown,PG,0,0
,0,0,11000000,,2000000,Return to the Blue Lagoon,1991,,0,,2000000,,,4.3,4632
Contemporary Fiction,0,0,25000000,Based on Book/Short Story,16118077,"Bright Lights, Big City",1-Apr-1988,,61,Drama,16118077,United Artists,R,6.8,11929
Fantasy,0,0,1200000,Based on Play,887000,The Blue Bird,1976,George Cukor,0,,887000,20th Century Fox,,4.9,359
Contemporary Fiction,0,0,10400000,Original Screenplay,1610194,The Blue Butterfly,20-Feb-2004,,44,Drama,1610194,Alliance,PG,6.2,817
Science Fiction,0,0,28000000,Based on Book/Short Story,32656328,Blade Runner,25-Jun-1982,Ridley Scott,92,Thriller/Suspense,33139618,Warner Bros.,R,8.3,185546
Contemporary Fiction,0,0,1500000,Original Screenplay,11806119,Bloodsport,26-Feb-1988,,0,Action,11806119,Cannon,,6.2,19816
Contemporary Fiction,0,0,27000000,Original Screenplay,57229890,The Blues Brothers,20-Jun-1980,John Landis,84,Musical,57229890,Universal,,7.9,62941
Contemporary Fiction,0,0,18000000,Original Screenplay,13747234,Blow Out,24-Jul-1981,Brian De Palma,89,Thriller/Suspense,13747234,Filmways Pictures,,7.1,10239
Contemporary Fiction,0,0,5500000,Original Screenplay,1023424,De battre mon coeur s'est arrÍtÈ,1-Jul-2005,,0,Drama,8589831,WellSpring,Not Rated,7.3,7295
,0,0,379000,Original Screenplay,2800000,The Broadway Melody,1929,,38,Musical,4358000,MGM,,6.7,2017
,0,0,2000000,Original Screenplay,9172000,Boom Town,1940,,0,,9172000,MGM,,7.1,1115
Contemporary Fiction,0,0,4500000,Original Screenplay,3802260,Bound,4-Oct-1996,Andy Wachowski,88,Thriller/Suspense,6300000,Gramercy,R,7.4,23564
Contemporary Fiction,0,0,10000,Original Screenplay,527,Bang,1-Apr-1996,"Jeff ""King Jeff"" Hollins",0,Thriller/Suspense,527,JeTi Films,,6.3,369
,0,0,2000000,Original Screenplay,0,Bananas,28-Apr-1971,Woody Allen,89,Comedy,0,MGM,PG-13,7.1,12415
Fantasy,0,0,20000000,Original Screenplay,37537675,Bill & Ted's Bogus Journey,19-Jul-1991,Peter Hewitt,58,Comedy,37537675,Orion Pictures,,5.8,20188
,0,0,110000,Based on Book/Short Story,10000000,The Birth of a Nation,8-Feb-15,,100,Drama,11000000,,,7.1,8901
Historical Fiction,0,0,3716946,Original Screenplay,3500000,The Ballad of Cable Hogue,13-May-1970,Sam Peckinpah,92,Western,5000000,Warner Bros.,,7.3,3125
,0,0,7700000,Original Screenplay,882290,The Blood of Heroes,23-Feb-1990,,0,Action,882290,New Line,,6.2,2523
Factual,0,0,120000,Based on Real Life Events,0,The Blood of My Brother: A Story of Death in Iraq,30-Jun-2006,,71,Documentary,0,Lifesize Entertainment,,7.6,90
Contemporary Fiction,0,0,42000000,Original Screenplay,70052444,Boomerang,1-Jul-1992,,37,Comedy,131052444,Paramount Pictures,,5.9,202
,0,0,3000000,Based on Book/Short Story,33300000,The Bridge on the River Kwai,18-Dec-1957,David Lean,95,Drama,33300000,Sony/Columbia,,8.4,58641
Dramatization,0,0,14000000,Based on Book/Short Story,70001698,Born on the Fourth of July,20-Dec-1989,Oliver Stone,89,Drama,70001698,Universal,,7.2,32108
Dramatization,0,0,3000000,Based on Real Life Events,2962051,Basquiat,9-Aug-1996,Julian Schnabel,69,Drama,2962051,Miramax,R,6.7,7935
Contemporary Fiction,0,0,30000000,Original Screenplay,45892212,Black Rain,22-Sep-1989,Ridley Scott,57,Thriller/Suspense,45892212,Paramount Pictures,,4.1,137
,0,0,5000000,Based on Short Film,407488,Bottle Rocket,21-Feb-1996,Wes Anderson,79,Adventure,407488,Sony Pictures,R,7.2,21980
,0,0,3000000,Original Screenplay,242623,Braindead,12-Feb-1993,Peter Jackson,0,Horror,242623,Trimark,,7.6,32827
Historical Fiction,0,0,22000000,Based on Book/Short Story,71516617,The Bridges of Madison County,2-Jun-1995,Clint Eastwood,90,Drama,175516617,Warner Bros.,PG-13,7.2,21923
Contemporary Fiction,0,0,25000,Original Screenplay,10426506,The Brothers McMullen,9-Aug-1995,Edward Burns,91,Drama,10426506,Fox Searchlight,R,6.4,4365
Fantasy,0,0,40000000,Based on Book/Short Story,82522790,Dracula,13-Nov-1992,Francis Ford Coppola,0,Horror,215862692,Sony Pictures,R,6.4,136
Contemporary Fiction,0,108,65000000,Original Screenplay,70645997,Broken Arrow,9-Feb-1996,John Woo,55,Action,148345997,20th Century Fox,R,5.8,33584
Science Fiction,0,0,15000000,Based on Book/Short Story,8921050,Brainstorm,30-Sep-1983,,64,Thriller/Suspense,8921050,MGM,,6.3,4410
Dramatization,0,0,72000000,Based on Real Life Events,75545647,Braveheart,24-May-1995,Mel Gibson,77,Drama,209000000,Paramount Pictures,R,8.4,240642
Contemporary Fiction,0,0,42000000,,0,Les BronzÈs 3: amis pour la vie,1-Feb-2006,,0,Comedy,83833602,,,4.4,1254
Fantasy,0,136,15000000,Original Screenplay,9929135,Brazil,18-Dec-1985,Terry Gilliam,98,Black Comedy,9929135,Universal,R,8,76635
,0,0,2600000,Original Screenplay,119500000,Blazing Saddles,1-Jan-1974,Mel Brooks,89,Comedy,119500000,Warner Bros.,,7.8,45771
,0,0,1300000,Original Screenplay,609042,The Basket,5-May-2000,,0,Drama,609042,MGM,PG,6.3,343
,0,0,2361000,Original Screenplay,3500000,Bathing Beauty,1944,,0,Musical,3500000,MGM,,6.2,487
Science Fiction,0,0,10000000,Original Screenplay,39916091,Bill & Ted's Excellent Adventure,17-Feb-1989,Stephen Herek,81,Comedy,39916091,Orion Pictures,,6.7,30341
,0,0,26000000,Based on Book/Short Story,50800000,A Bridge Too Far,15-Jun-1977,Sir Richard Attenborough,67,Action,50800000,MGM,,7.3,16882
Fantasy,0,0,15000000,Original Screenplay,73326666,Beetle Juice,30-Mar-1988,Tim Burton,0,Comedy,73326666,Warner Bros.,,7.3,61197
Super Hero,0,0,80000000,Original Screenplay,162831698,Batman Returns,18-Jun-1992,Tim Burton,78,Action,266822354,Warner Bros.,PG-13,6.9,78673
Super Hero,0,0,100000000,Original Screenplay,184031112,Batman Forever,16-Jun-1995,Joel Schumacher,43,Action,336529144,Warner Bros.,PG-13,5.4,76218
,0,0,1377800,,0,Batman - The Movie,21-Aug-2001,,0,,0,,,0,0
Super Hero,0,0,35000000,Based on Comic/Graphic Novel,251188924,Batman,23-Jun-1989,Tim Burton,71,Action,411348924,Warner Bros.,PG-13,7.6,111464
Fantasy,0,0,7000000,Original Screenplay,14231669,Buffy the Vampire Slayer,31-Jul-1992,,32,Horror,14231669,20th Century Fox,,5.3,16056
Contemporary Fiction,0,109,16000000,Original Screenplay,1470856,Bienvenue chez les Ch'tis,25-Jul-2008,,0,Comedy,243470856,Link Productions Ltd.,Not Rated,7,7129
,0,0,1000000,Original Screenplay,9000000,Beyond the Valley of the Dolls,1-Jan-1970,,68,Comedy,9000000,20th Century Fox,,5.7,4626
,0,0,600000,Original Screenplay,15030,Broken Vessels,2-Jul-1999,,0,Drama,85343,,R,6.4,399
,0,0,12000000,Based on Book/Short Story,19000000,The Boys from Brazil,1978,Franklin J. Schaffner,65,Thriller/Suspense,19000000,20th Century Fox,,7,8741
Contemporary Fiction,0,0,200000,Original Screenplay,174682,The Business of Fancy Dancing,10-May-2002,,0,Drama,174682,Outrider Pictures,Not Rated,7,355
Contemporary Fiction,0,0,6000000,Original Screenplay,39846344,Caddyshack,25-Jul-1980,Harold Ramis,75,Comedy,39846344,Warner Bros.,,7.3,35436
Contemporary Fiction,0,0,35000000,Remake,79091969,Cape Fear,15-Nov-1991,Martin Scorsese,76,Thriller/Suspense,182291969,Universal,R,7.3,47196
Contemporary Fiction,0,0,62000000,Based on Book/Short Story,122012656,Clear and Present Danger,3-Aug-1994,Phillip Noyce,78,Action,207500000,Paramount Pictures,PG-13,6.8,29612
Contemporary Fiction,0,0,1800000,Based on Book/Short Story,25878153,Carrie,16-Nov-1976,Brian De Palma,90,Horror,25878153,MGM,,7.4,38767
Contemporary Fiction,0,0,12000000,Based on Book/Short Story,22744718,Casino Royale,28-Apr-1967,John Huston,30,Comedy,41744718,Sony Pictures,,8,172936
Contemporary Fiction,0,0,4600000,Original Screenplay,3479302,Camping Sauvage,16-Jul-2004,,0,Comedy,3479302,Alliance,Not Rated,6,378
Historical Fiction,0,0,48000000,Original Screenplay,25928721,The Cotton Club,14-Dec-1984,Francis Ford Coppola,74,Drama,25928721,Orion Pictures,,6.3,6940
,0,0,600000,,0,Crop Circles: Quest for Truth,23-Aug-2002,,60,,0,,,7.1,153
Science Fiction,0,0,20000000,Original Screenplay,166000000,Close Encounters of the Third Kind,16-Nov-1977,Steven Spielberg,95,Adventure,337700000,Sony Pictures,,7.8,59049
Contemporary Fiction,0,95,47000000,Original Screenplay,60240295,The Cable Guy,14-Jun-1996,Ben Stiller,52,Comedy,102825796,Sony Pictures,PG-13,5.8,51109
Contemporary Fiction,0,0,1000000,Original Screenplay,49000,Chocolate: Deep Dark Secrets,16-Sep-2005,,0,Thriller/Suspense,1549000,Eros Entertainment,Not Rated,4.6,527
Fantasy,0,0,9000000,Original Screenplay,33244684,Child's Play,9-Nov-1988,,70,Horror,44196684,United Artists,,6.3,16165
Fantasy,0,0,13000000,Original Screenplay,26904572,Child's Play 2,9-Nov-1990,,38,Horror,34166572,Universal,,5.1,8666
Contemporary Fiction,0,106,55000000,Original Screenplay,21226204,Chain Reaction,2-Aug-1996,Andrew Davis,13,Action,60209334,20th Century Fox,PG-13,5.2,15817
Contemporary Fiction,0,0,950000,Based on Book/Short Story,814666,Charly,27-Sep-2002,,0,Drama,814666,Excel Entertainment,PG,5.8,60
Dramatization,0,0,5500000,Based on Real Life Events,57159946,Chariots of Fire,25-Sep-1981,Hugh Hudson,86,Drama,57159946,Sony Pictures,,7.3,16138
Historical Fiction,0,0,3250000,Based on Book/Short Story,19294144,A Christmas Story,18-Nov-1983,,88,Comedy,19294144,MGM,PG,8,51757
Contemporary Fiction,0,0,3000000,Based on Play,17570324,Cat on a Hot Tin Roof,20-Sep-1958,Richard Brooks,100,Drama,17570324,MGM,,8,14540
Fantasy,0,0,1250000,Original Screenplay,4700000,C.H.U.D.,31-Aug-1984,,0,Horror,4700000,New World,,5,2806
Dramatization,0,0,1200000,Based on Real Life Events,0,"Charge of the Light Brigade, The",20-Oct-1936,Michael Curtiz,0,Action,0,Warner Bros.,,0,0
Historical Fiction,0,0,14000000,Original Screenplay,13024170,Crooklyn,13-May-1994,Spike Lee,75,Comedy,13024170,Universal,PG-13,6.5,3137
Contemporary Fiction,0,0,1300000,Original Screenplay,1647780,Festen,9-Oct-1998,Thomas Vinterberg,0,Comedy,1647780,October Films,R,8.1,26607
Dramatization,0,0,36000000,Based on Real Life Events,48000000,Cleopatra,12-Jun-1963,,40,Drama,62000000,20th Century Fox,,6.8,7870
Contemporary Fiction,0,0,65000000,Original Screenplay,84049211,Cliffhanger,28-May-1993,Renny Harlin,82,Action,255000000,Sony Pictures,,6.2,34447
Contemporary Fiction,0,0,500000,Original Screenplay,4134,The Californians,21-Oct-2005,,0,Drama,4134,Fabrication Films,PG,5.1,226
Contemporary Fiction,0,0,45000000,Based on Book/Short Story,92115211,The Client,20-Jul-1994,Joel Schumacher,80,Drama,117615211,Warner Bros.,PG-13,6.5,19299
Contemporary Fiction,0,0,160000,Original Screenplay,32092,The Calling,1-Mar-2002,Michael C. Brown,0,Drama,32092,Testimony Pictures,PG,3.4,1113
Contemporary Fiction,0,0,13700000,Based on Book/Short Story,56598476,Clueless,1-Jul-1995,Amy Heckerling,83,Comedy,56598476,Paramount Pictures,PG-13,6.7,39055
Historical Fiction,0,0,15000000,Based on Book/Short Story,93589701,The Color Purple,18-Dec-1985,Steven Spielberg,88,Drama,93589701,Warner Bros.,,7.7,26962
Contemporary Fiction,0,0,27000,Original Screenplay,3073428,Clerks,19-Oct-1994,Kevin Smith,88,Comedy,3073428,Miramax,R,7.9,89991
Contemporary Fiction,0,0,2900000,Original Screenplay,5969553,Central do Brasil,20-Nov-1998,Walter Salles,0,Drama,17006158,Sony Pictures Classics,R,8,17343
Fantasy,0,108,15000000,Traditional/Legend/Fairytale,30000000,Clash of the Titans,12-Jun-1981,,65,Adventure,30000000,MGM,,5.9,45773
,0,0,2000000,,444354,Clockwatchers,15-May-1998,,0,,444354,Artistic License,PG-13,5.9,3171
Contemporary Fiction,0,0,10000000,Original Screenplay,35073978,Commando,4-Oct-1985,,71,Action,35073978,20th Century Fox,,4.5,49
Contemporary Fiction,0,0,10000000,,52293000,The Color of Money,17-Oct-1986,Martin Scorsese,91,Drama,52293000,Walt Disney Pictures,,6.9,25824
Fantasy,0,0,2900000,Traditional/Legend/Fairytale,85000000,Cinderella,15-Feb-1950,,92,Drama,85000000,Walt Disney Pictures,,5.1,373
